	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0	2	0.0	0	1.0	1	1	12	8	1	0.0	E2	40	True	E	0	0	1.0	1	P2-Staff2	1	1.0	6.0	0.0	I	True	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
1	0	2	0.0	0	1.0	1	1	12	8	1	0.0	E3	52	True	E	0	0	1.0	1	P2-Staff2	1	1.0	6.0	0.0	I	True	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
2	1	1	0.5	1/2	0.5	1/2	1	12	8	1	0.33299999999999996	G#3	56	True	G	1	1/8	1.333	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
3	1	1	0.5	1/2	0.5	1/2	1	12	8	1	0.33299999999999996	E4	64	True	E	0	1/8	1.333	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
4	1	1	0.5	1/2	0.5	1/2	1	12	8	1	0.33299999999999996	G#4	68	True	G	1	1/8	1.333	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
5	2	1	1.0	1	0.5	1/2	1	12	8	1	0.667	G#3	56	True	G	1	1/4	1.667	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
6	2	1	1.0	1	0.5	1/2	1	12	8	1	0.667	E4	64	True	E	0	1/4	1.667	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
7	2	1	1.0	1	0.5	1/2	1	12	8	1	0.667	G#4	68	True	G	1	1/4	1.667	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
8	3	2	1.5	3/2	1.0	1	1	12	8	1	1.0	E3	52	True	E	0	3/8	2.0	2	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
9	3	2	1.5	3/2	1.0	1	1	12	8	1	1.0	G#3	56	True	G	1	3/8	2.0	2	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
10	4	1	2.0	2	0.5	1/2	1	12	8	1	1.3330000000000002	B3	59	True	B	0	1/2	2.333	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
11	4	1	2.0	2	0.5	1/2	1	12	8	1	1.3330000000000002	E4	64	True	E	0	1/2	2.333	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
12	4	1	2.0	2	0.5	1/2	1	12	8	1	1.3330000000000002	B4	71	True	B	0	1/2	2.333	0	P2-Staff2	1	1.0	6.0	0.0	I	False	('E', 'G#', 'B')	E	E	0.0	major triad	(4, 8, 11)	E	E	1	None
