quarterbeats	mn	mn_onset	a_duration	a_annotationNumber	label	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	localkey_abs	globalkey	a_tonicizedKey	a_degree1	a_degree2
0.0	0	3/8	0.5	0	i6	i	True	('B-', 'D', 'G')	B-	G	1	minor triad	(2, 7, 10)	g	g	g	g	1	None
0.5	1	0	2.0	1	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
2.5	2	0	1.5	2	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
4.0	2	3/8	0.5	3	IV	IV	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	g	g	g	g	4	None
4.5	3	0	1.0	4	viio42	viio7	True	('E-', 'F#', 'A', 'C')	E-	F#	3	diminished seventh chord	(0, 3, 6, 9)	g	g	g	g	#7	None
5.5	3	1/4	1.0	5	iio43	iio7	True	('E-', 'G-', 'A', 'C')	E-	A	2	diminished seventh chord	(0, 3, 6, 9)	g	g	g	g	2	None
6.5	4	0	2.0	6	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None
8.5	5	0	2.0	7	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
10.5	6	0	1.5	8	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
12.0	6	3/8	0.5	9	VI	VI	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	g	g	g	g	6	None
12.5	7	0	1.5	10	VI	VI	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	g	g	g	g	6	None
14.0	7	3/8	0.5	11	iio43[no3]	iio7	True	('E-', 'G-', 'A')	E-	A	2	enharmonic equivalent to diminished triad	(3, 6, 9)	g	g	g	g	2	None
14.5	8	0	2.0	12	iv6	iv	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	g	g	g	g	4	None
16.5	9	0	0.5	13	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None
17.0	9	1/8	0.5	14	V42	V7	True	('C', 'D', 'F#', 'A')	C	D	3	dominant seventh chord	(0, 2, 6, 9)	g	g	g	g	5	None
17.5	9	1/4	0.25	15	i6	i	True	('B-', 'D', 'G')	B-	G	1	minor triad	(2, 7, 10)	g	g	g	g	1	None
17.75	9	5/16	0.25	16	V42	V7	True	('C', 'D', 'F#', 'A')	C	D	3	dominant seventh chord	(0, 2, 6, 9)	g	g	g	g	5	None
18.0	9	3/8	0.25	17	i6	i	True	('B-', 'D', 'G')	B-	G	1	minor triad	(2, 7, 10)	g	g	g	g	1	None
18.25	9	7/16	0.25	18	viio6	viio	True	('A', 'C', 'F#')	A	F#	1	diminished triad	(0, 6, 9)	g	g	g	g	#7	None
18.5	10	0	2.0	19	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
20.5	11	0	1.0	20	iv6	iv	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	g	g	g	g	4	None
21.5	11	1/4	0.5	21	bII64	N	True	('E-', 'A-', 'C')	E-	A-	2	major triad	(0, 3, 8)	g	g	g	g	-2	None
22.0	11	3/8	0.5	22	iv6	iv	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	g	g	g	g	4	None
22.5	12	0	2.0	23	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None
24.5	13	0	1.0	24	iv6	iv	True	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	f	f	g	f	4	None
25.5	13	1/4	0.5	25	bII64	N	True	('D-', 'G-', 'B-')	D-	G-	2	major triad	(1, 6, 10)	f	f	g	f	-2	None
26.0	13	3/8	0.5	26	iv6	iv	True	('D-', 'F', 'B-')	D-	B-	1	minor triad	(1, 5, 10)	f	f	g	f	4	None
26.5	14	0	2.0	27	V	V	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	f	f	g	f	5	None
28.5	15	0	1.0	28	i	i	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	f	f	g	f	1	None
29.5	15	1/4	1.0	29	V	V	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	f	f	g	f	5	None
30.5	16	0	1.0	30	i	i	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	f	f	g	f	1	None
31.5	16	1/4	0.5	31	V	V	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	f	f	g	f	5	None
32.0	16	3/8	0.5	32	iv	iv	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	g	g	g	g	4	None
32.5	17	0	1.5	33	i64	i	True	('D', 'G', 'B-')	D	G	2	minor triad	(2, 7, 10)	g	g	g	g	1	None
34.0	17	3/8	0.5	34	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None
34.5	18	0	1.5	35	i64	i	True	('D', 'G', 'B-')	D	G	2	minor triad	(2, 7, 10)	g	g	g	g	1	None
36.0	18	3/8	0.5	36	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None
36.5	19	0	1.0	37	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
37.5	19	1/4	0.5	38	i54	i54	True	('D', 'G', 'A')	D	G	2	quartal trichord	(2, 7, 9)	g	g	g	g	1	None
38.0	19	3/8	0.5	39	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None
38.5	20	0	2.0	40	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
40.5	21	0	1.5	41	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None
42.0	21	3/8	0.5	42	I6	I	True	('B', 'D', 'G')	B	G	1	major triad	(2, 7, 11)	G	G	g	G	1	None
42.5	22	0	2.0	43	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	g	G	1	None
44.5	23	0	1.5	44	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	g	G	1	None
46.0	23	3/8	0.5	45	ii42	ii7	True	('G', 'A', 'C', 'E')	G	A	3	minor seventh chord	(0, 4, 7, 9)	G	G	g	G	2	None
46.5	24	0	0.5	46	IV64	IV	True	('G', 'C', 'E')	G	C	2	major triad	(0, 4, 7)	G	G	g	G	4	None
47.0	24	1/8	0.5	47	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	g	G	1	None
47.5	24	1/4	0.5	48	V6	V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	G	G	g	G	5	None
48.0	24	3/8	0.5	49	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	g	G	1	None
48.5	25	0	0.5	50	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	g	G	5	None
49.0	25	1/8	0.5	51	V43/V	V7/V	True	('E', 'G', 'A', 'C#')	E	A	2	dominant seventh chord	(1, 4, 7, 9)	G	G	g	D	5	5
49.5	25	1/4	0.5	52	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	g	G	5	None
