j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0	0.5	1/2	1	C4	60	True	Cello	1	1.0	3.0	0.0	I	True	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
0.0	0	0.5	1/2	1	A3	57	True	Cello	1	1.0	3.0	0.0	I	True	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
0.0	0	1.0	1	1	C3	48	True	Cello	1	1.0	3.0	0.0	I	True	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
0.5	1/2	0.5	1/2	1	C4	60	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
0.5	1/2	0.5	1/2	1	A3	57	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
1.0	1	0.5	1/2	1	C4	60	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
1.0	1	0.5	1/2	1	A3	57	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
1.0	1	1.0	1	1	D3	50	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
1.5	3/2	0.5	1/2	1	C4	60	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
1.5	3/2	0.5	1/2	1	A3	57	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
2.0	2	0.5	1/2	1	C4	60	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
2.0	2	0.5	1/2	1	A3	57	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
2.0	2	1.0	1	1	E3	52	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
2.5	5/2	0.5	1/2	1	C4	60	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
2.5	5/2	0.5	1/2	1	A3	57	True	Cello	1	1.0	3.0	0.0	I	False	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	F	F	1	None
3.0	3	0.5	1/2	1	C4	60	True	Cello	1	1.0	1.0	1.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
